closure,R,c,error,standard_error,ci_low,ci_high,ci_reaches_zero,n_replicates,n_times,tau_start,tau_end
dynamic_K1,1.0,1.0,0.00026320158756328987,0.0002571921072511961,0.0,0.0007672888548835972,True,120,151,0.0,5.0
dynamic_K2,1.0,1.0,0.00023259092807963674,0.00013764520058804597,0.0,0.0005023705638769983,True,120,151,0.0,5.0
dynamic_K3,1.0,1.0,0.00022603415009626464,0.00012515304640050006,0.0,0.000471329613596715,True,120,151,0.0,5.0
algebraic_qss0,1.5,0.0,0.002841294065872006,0.0005500944929732445,0.001763128671550625,0.003919459460193387,False,120,151,0.0,5.0
dynamic_K1,1.5,0.0,0.0010181340771891916,0.0016321523266717374,0.0,0.00421709385474905,True,120,151,0.0,5.0
dynamic_K2,1.5,0.0,0.0010181340771891001,0.0016321523266717686,0.0,0.00421709385474902,True,120,151,0.0,5.0
dynamic_K3,1.5,0.0,0.0010181340771891001,0.0016321523266717686,0.0,0.00421709385474902,True,120,151,0.0,5.0
algebraic_qss0,1.5,0.25,0.0032329545987671675,0.0007677360342526947,0.0017282196219982765,0.004737689575536059,False,120,151,0.0,5.0
dynamic_K1,1.5,0.25,0.0006497648021250869,0.0012848452289486057,0.0,0.0031680151765724742,True,120,151,0.0,5.0
dynamic_K2,1.5,0.25,0.0007109922669571298,0.0013252842258698687,0.0,0.0033085016189411186,True,120,151,0.0,5.0
dynamic_K3,1.5,0.25,0.0007095497321122643,0.0013244628265578632,0.0,0.0033054491710277963,True,120,151,0.0,5.0
algebraic_qss0,1.5,0.5,0.002963505594499415,0.00047147936432021854,0.0020394230209779475,0.0038875881680208823,False,120,151,0.0,5.0
dynamic_K1,1.5,0.5,0.000662987478838557,0.0006008931939024016,0.0,0.0018407164974425074,True,120,151,0.0,5.0
dynamic_K2,1.5,0.5,0.0005908995235511358,0.0003057441413032173,0.0,0.0011901470289895667,True,120,151,0.0,5.0
dynamic_K3,1.5,0.5,0.0005912772242506571,0.0003156685932872592,0.0,0.0012099762981441073,True,120,151,0.0,5.0
algebraic_qss0,1.5,0.75,0.003003658698446835,0.00022177089621401032,0.0025689957290482043,0.0034383216678454654,False,120,151,0.0,5.0
dynamic_K1,1.5,0.75,0.0005648044364694461,0.000999155780291971,0.0,0.0025231137807867243,True,120,151,0.0,5.0
dynamic_K2,1.5,0.75,0.00036299497943246433,0.0005217759480298563,0.0,0.0013856570455702255,True,120,151,0.0,5.0
dynamic_K3,1.5,0.75,0.0003732706563400309,0.0005838900141154137,0.0,0.0015176740549388255,True,120,151,0.0,5.0
algebraic_qss0,1.5,1.0,0.0029978769856496,0.00033848975776376626,0.002334449251296931,0.0036613047200022694,False,120,151,0.0,5.0
dynamic_K1,1.5,1.0,0.0006332711481373862,0.000651422849822502,0.0,0.0019100364724959345,True,120,151,0.0,5.0
dynamic_K2,1.5,1.0,0.0008592279077299923,0.0009653277889365165,0.0,0.0027512356073212474,True,120,151,0.0,5.0
dynamic_K3,1.5,1.0,0.0008174771553583643,0.0009558617174224456,0.0,0.00269093169570696,True,120,151,0.0,5.0
algebraic_qss0,2.0,0.0,0.0057044025083543065,0.0009229790609351564,0.0038953967904368,0.007513408226271813,False,120,151,0.0,5.0
dynamic_K1,2.0,0.0,0.0027637145481576447,0.001920553350249164,0.0,0.006527929945033746,True,120,151,0.0,5.0
dynamic_K2,2.0,0.0,0.002763714548157497,0.0019205533502491552,0.0,0.006527929945033581,True,120,151,0.0,5.0
dynamic_K3,2.0,0.0,0.002763714548157497,0.0019205533502491552,0.0,0.006527929945033581,True,120,151,0.0,5.0
algebraic_qss0,2.0,0.25,0.004907603468334522,0.0006747819603467882,0.003585055128637483,0.0062301518080315615,False,120,151,0.0,5.0
dynamic_K1,2.0,0.25,0.0026604304049801437,0.0015604894015942225,0.0,0.00571893343036128,True,120,151,0.0,5.0
dynamic_K2,2.0,0.25,0.002598434938353609,0.0015561464600213743,0.0,0.005648425954665002,True,120,151,0.0,5.0
dynamic_K3,2.0,0.25,0.0026004011328621584,0.0015562612709549058,0.0,0.0056506171744683045,True,120,151,0.0,5.0
algebraic_qss0,2.0,0.5,0.006428276056868974,0.0015481115091240236,0.0033940332549339367,0.009462518858804012,False,120,151,0.0,5.0
dynamic_K1,2.0,0.5,0.004384201722960328,0.0020738830958995677,0.0003194655468507484,0.008448937899069907,False,120,151,0.0,5.0
dynamic_K2,2.0,0.5,0.004237469277561329,0.0020746480866960294,0.00017123374704217965,0.008303704808080478,False,120,151,0.0,5.0
dynamic_K3,2.0,0.5,0.00424894042848918,0.002075023046578704,0.0001819699901043411,0.00831591086687402,False,120,151,0.0,5.0
algebraic_qss0,2.0,0.75,0.006530937569038468,0.0012938463892489742,0.003995045244583287,0.009066829893493649,False,120,151,0.0,5.0
dynamic_K1,2.0,0.75,0.0024767059730400336,0.0018431281362137504,0.0,0.0060891707389114196,True,120,151,0.0,5.0
dynamic_K2,2.0,0.75,0.002360789381942932,0.0018370499478665048,0.0,0.005961341117562465,True,120,151,0.0,5.0
dynamic_K3,2.0,0.75,0.0023828501945410813,0.0018421204937318922,0.0,0.0059933400174387325,True,120,151,0.0,5.0
algebraic_qss0,2.0,1.0,0.0054629981743865,0.0005959341676481667,0.004294988668639239,0.006631007680133761,False,120,151,0.0,5.0
dynamic_K1,2.0,1.0,0.001999567646214981,0.0015169749168893183,0.0,0.004972783848768687,True,120,151,0.0,5.0
dynamic_K2,2.0,1.0,0.0018766626669971687,0.0016328394411236605,0.0,0.0050769691641360535,True,120,151,0.0,5.0
dynamic_K3,2.0,1.0,0.0018239239101673062,0.0016370954205403715,0.0,0.005032571973681888,True,120,151,0.0,5.0
algebraic_qss0,4.0,0.0,0.0327753709133343,0.0003225915824146196,0.032143103030085864,0.03340763879658274,False,120,151,0.0,5.0
dynamic_K1,4.0,0.0,0.0012129513366734635,0.000999526889346259,0.0,0.003171988041371483,True,120,151,0.0,5.0
dynamic_K2,4.0,0.0,0.0012129513366734143,0.0009995268893462513,0.0,0.0031719880413714186,True,120,151,0.0,5.0
dynamic_K3,4.0,0.0,0.0012129513366734143,0.0009995268893462513,0.0,0.0031719880413714186,True,120,151,0.0,5.0
