U0,I0,protocol_id,R,c,n_replicates,E_U,E_I,E_M1,E_mean
500,10,R2_c1_G0.5_C,2.0,1.0,120,0.013044693944099156,0.004612228170159701,0.003466105930956004,0.014263610311328627
500,10,R2_c1_G1_C,2.0,1.0,120,0.023556305409723737,0.006502930635114666,0.004662580239988346,0.02487824925302467
500,10,R2_c1_G2_C,2.0,1.0,120,0.00736566649152334,0.002212324453243724,0.0017367600278202597,0.007884399643917355
500,10,R2_c1_G4_C,2.0,1.0,120,0.04047373151336128,0.008522945232898739,0.005931939449581655,0.04178458380422316
500,10,R4_c0_G0.25_L,4.0,0.0,120,0.012343166068472052,0.008362287084356535,0.006153990100194167,0.016129264956232934
500,10,R4_c0_G0.25_M,4.0,0.0,120,0.014956909517675154,0.00958244781844001,0.007470225348529285,0.019270098994838007
500,10,R4_c0_G0.25_F,4.0,0.0,120,0.004173509284141744,0.003001599666004978,0.0027563074258276496,0.005833096169741346
500,10,R4_c0_G0.5_L,4.0,0.0,120,0.014227866971040865,0.009161768226382717,0.006710678166324389,0.018204488375990528
500,10,R4_c0_G0.5_M,4.0,0.0,120,0.012462156878724559,0.008715286641071431,0.006166406902508114,0.016409940566415215
500,10,R4_c0_G0.5_F,4.0,0.0,120,0.008327928564398571,0.005587195475867656,0.0047514239835373395,0.01109716978921272
500,10,R4_c0_G1_L,4.0,0.0,120,0.010710862903729659,0.00695786007674642,0.005623453476828708,0.013955559107256531
500,10,R4_c0_G1_M,4.0,0.0,120,0.007279431848627422,0.0026524504912868755,0.001342156870173617,0.007863015115825066
500,10,R4_c0_G1_F,4.0,0.0,120,0.010500037486742785,0.006547789663563147,0.0047502510513482196,0.013254781090312393
500,10,R4_c0_G2_L,4.0,0.0,120,0.01526193281817567,0.010538299633587957,0.007550902519406837,0.020024946476117536
500,10,R4_c0_G2_M,4.0,0.0,120,0.007155658590114029,0.005667675575573552,0.004669137203173718,0.010253137983577836
500,10,R4_c0_G2_F,4.0,0.0,120,0.00733707669055781,0.0055873770082827835,0.0041074046348820985,0.010095654957973987
500,10,R4_c0_G4_L,4.0,0.0,120,0.009459784002719593,0.005407455538710742,0.004284515366855969,0.011708337230797033
500,10,R4_c0_G4_M,4.0,0.0,120,0.009340532471305825,0.005876703976159221,0.004145785920050346,0.01178850021698315
