analytical_table_id,configuration_sha256,R,c,zero_terminal_depth_K,m1_K,difference_from_previous_depth,fixed_point_residual,stable_bessel_cf_difference,simple_root_margin,admissible,root_bracket_left,root_bracket_right,bracket_expansions,bracket_source
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,1.0,40,0.6465534375695178,0.0,5.551115123125783e-15,5.440092820663267e-15,0.758421915340409,True,0.7046315634720663,1.3446315634720665,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.0,80,0.6,0.0,0.0,0.0,1.0,True,1.5,1.5,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.25,80,0.6105980002655489,0.0,8.881784197001252e-16,1.3322676295501878e-15,0.9398021636969235,True,1.34,1.5,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.5,80,0.6218554906605531,0.0,6.661338147750939e-16,4.440892098500626e-16,0.8793172206772182,True,1.1873504999336129,1.5,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.75,80,0.6338245820372448,0.0,5.440092820663267e-15,5.773159728050814e-15,0.8187578480475031,True,0.8690722546697234,1.5,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,1.0,80,0.6465534375695178,0.0,5.551115123125783e-15,5.440092820663267e-15,0.758421915340409,True,0.7046315634720663,1.3446315634720665,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.0,160,0.6,0.0,0.0,0.0,1.0,True,1.5,1.5,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.25,160,0.6105980002655489,0.0,8.881784197001252e-16,1.3322676295501878e-15,0.9398021636969235,True,1.34,1.5,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.5,160,0.6218554906605531,0.0,6.661338147750939e-16,4.440892098500626e-16,0.8793172206772182,True,1.1873504999336129,1.5,3,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,0.75,160,0.6338245820372448,0.0,5.440092820663267e-15,5.773159728050814e-15,0.8187578480475031,True,0.8690722546697234,1.5,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.5,1.0,160,0.6465534375695178,0.0,5.551115123125783e-15,5.440092820663267e-15,0.758421915340409,True,0.7046315634720663,1.3446315634720665,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.0,20,0.6666666666666666,nan,0.0,0.0,1.0,True,2.0,2.0,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.25,20,0.6761067417004449,nan,2.220446049250313e-16,6.661338147750939e-16,0.9446695521232544,True,1.75,2.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.5,20,0.6859094306187234,nan,1.1102230246251565e-16,3.3306690738754696e-16,0.8899313555226892,True,1.5109733145748887,2.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.75,20,0.6960702416719403,nan,4.440892098500626e-16,3.3306690738754696e-16,0.836030640229387,True,1.3370452846906382,1.9770452846906383,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,1.0,20,0.7065742076083414,nan,1.3322676295501878e-15,1.6653345369377348e-15,0.7832593025853747,True,1.1579473187460447,1.7979473187460449,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.0,40,0.6666666666666666,0.0,0.0,0.0,1.0,True,2.0,2.0,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.25,40,0.6761067417004449,0.0,2.220446049250313e-16,6.661338147750939e-16,0.9446695521232544,True,1.75,2.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.5,40,0.6859094306187234,0.0,1.1102230246251565e-16,3.3306690738754696e-16,0.8899313555226892,True,1.5109733145748887,2.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.75,40,0.6960702416719403,0.0,4.440892098500626e-16,3.3306690738754696e-16,0.836030640229387,True,1.3370452846906382,1.9770452846906383,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,1.0,40,0.7065742076083414,0.0,1.3322676295501878e-15,1.6653345369377348e-15,0.7832593025853747,True,1.1579473187460447,1.7979473187460449,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.0,80,0.6666666666666666,0.0,0.0,0.0,1.0,True,2.0,2.0,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.25,80,0.6761067417004449,0.0,2.220446049250313e-16,6.661338147750939e-16,0.9446695521232544,True,1.75,2.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.5,80,0.6859094306187234,0.0,1.1102230246251565e-16,3.3306690738754696e-16,0.8899313555226892,True,1.5109733145748887,2.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.75,80,0.6960702416719403,0.0,4.440892098500626e-16,3.3306690738754696e-16,0.836030640229387,True,1.3370452846906382,1.9770452846906383,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,1.0,80,0.7065742076083414,0.0,1.3322676295501878e-15,1.6653345369377348e-15,0.7832593025853747,True,1.1579473187460447,1.7979473187460449,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.0,160,0.6666666666666666,0.0,0.0,0.0,1.0,True,2.0,2.0,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.25,160,0.6761067417004449,0.0,2.220446049250313e-16,6.661338147750939e-16,0.9446695521232544,True,1.75,2.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.5,160,0.6859094306187234,0.0,1.1102230246251565e-16,3.3306690738754696e-16,0.8899313555226892,True,1.5109733145748887,2.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.75,160,0.6960702416719403,0.0,4.440892098500626e-16,3.3306690738754696e-16,0.836030640229387,True,1.3370452846906382,1.9770452846906383,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,1.0,160,0.7065742076083414,0.0,1.3322676295501878e-15,1.6653345369377348e-15,0.7832593025853747,True,1.1579473187460447,1.7979473187460449,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.0,20,0.8,nan,0.0,0.0,1.0,True,4.0,4.0,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.25,20,0.8053261651114578,nan,2.6645352591003757e-15,2.220446049250313e-15,0.9605896871781597,True,3.75,4.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.5,20,0.8106293434845702,nan,1.1102230246251565e-16,3.3306690738754696e-16,0.9224051782245599,True,3.5,4.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.75,20,0.8158959654017425,nan,4.440892098500626e-16,9.992007221626409e-16,0.8855126329785025,True,3.274685328257715,3.9146853282577148,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,1.0,20,0.8211118214672699,nan,2.220446049250313e-16,9.992007221626409e-16,0.8499721443734237,True,3.0680780259486933,3.708078025948693,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.0,40,0.8,0.0,0.0,0.0,1.0,True,4.0,4.0,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.25,40,0.8053261651114578,0.0,2.6645352591003757e-15,2.220446049250313e-15,0.9605896871781597,True,3.75,4.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.5,40,0.8106293434845702,0.0,1.1102230246251565e-16,3.3306690738754696e-16,0.9224051782245599,True,3.5,4.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.75,40,0.8158959654017425,0.0,4.440892098500626e-16,9.992007221626409e-16,0.8855126329785025,True,3.274685328257715,3.9146853282577148,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,1.0,40,0.8211118214672699,0.0,2.220446049250313e-16,9.992007221626409e-16,0.8499721443734237,True,3.0680780259486933,3.708078025948693,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.0,80,0.8,0.0,0.0,0.0,1.0,True,4.0,4.0,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.25,80,0.8053261651114578,0.0,2.6645352591003757e-15,2.220446049250313e-15,0.9605896871781597,True,3.75,4.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.5,80,0.8106293434845702,0.0,1.1102230246251565e-16,3.3306690738754696e-16,0.9224051782245599,True,3.5,4.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.75,80,0.8158959654017425,0.0,4.440892098500626e-16,9.992007221626409e-16,0.8855126329785025,True,3.274685328257715,3.9146853282577148,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,1.0,80,0.8211118214672699,0.0,2.220446049250313e-16,9.992007221626409e-16,0.8499721443734237,True,3.0680780259486933,3.708078025948693,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.0,160,0.8,0.0,0.0,0.0,1.0,True,4.0,4.0,0,exact_c0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.25,160,0.8053261651114578,0.0,2.6645352591003757e-15,2.220446049250313e-15,0.9605896871781597,True,3.75,4.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.5,160,0.8106293434845702,0.0,1.1102230246251565e-16,3.3306690738754696e-16,0.9224051782245599,True,3.5,4.0,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,0.75,160,0.8158959654017425,0.0,4.440892098500626e-16,9.992007221626409e-16,0.8855126329785025,True,3.274685328257715,3.9146853282577148,4,local_continuation
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,4.0,1.0,160,0.8211118214672699,0.0,2.220446049250313e-16,9.992007221626409e-16,0.8499721443734237,True,3.0680780259486933,3.708078025948693,4,local_continuation
