R,c,k,qss_target,valid_replicate_count,extinction_count,censoring_count,abm_mean,bootstrap_95_lower,bootstrap_95_upper,signed_discrepancy,discrepancy_95_lower,discrepancy_95_upper,absolute_discrepancy,absolute_relative_discrepancy,root_residual,K40_K80_max_difference_m1_m3,bessel_CF80_max_difference_m1_m3,number_of_roots_found
4.0,0.25,1,0.8053261651114556,120,0,0,0.8053562111602676,0.8052700543854906,0.8054409783173347,3.004604881196027e-05,-5.6110725965008434e-05,0.00011481320587913846,3.004604881196027e-05,3.730916753189306e-05,1.1102230246251565e-16,0.0,8.881784197001252e-16,1
4.0,0.25,2,0.5420269299840241,120,0,0,0.5420940689995323,0.541915780077463,0.5422702699387554,6.713901550814416e-05,-0.00011114990656113655,0.0002433399547312476,6.713901550814416e-05,0.00012386656786614466,1.1102230246251565e-16,0.0,8.881784197001252e-16,1
4.0,0.25,3,0.3130807910778931,120,0,0,0.31314759879548176,0.3129476928867202,0.3133511733489794,6.680771758865722e-05,-0.000133098191172909,0.000270382271086278,6.680771758865722e-05,0.00021338810777450656,1.1102230246251565e-16,0.0,8.881784197001252e-16,1
4.0,0.5,1,0.8106293434845692,120,0,0,0.8105409949647343,0.8104143894134707,0.8106680494282434,-8.83485198348577e-05,-0.0002149540710985054,3.87059436742776e-05,8.83485198348577e-05,0.00010898756693790899,2.220446049250313e-16,0.0,7.771561172376096e-16,1
4.0,0.5,2,0.5508264976725245,120,0,0,0.550587825542298,0.5503384539094027,0.5508525578849189,-0.00023867213022643607,-0.00048804376312172604,2.6060212394485305e-05,0.00023867213022643607,0.00043329820049494176,2.220446049250313e-16,0.0,7.771561172376096e-16,1
4.0,0.5,3,0.3216328979884426,120,0,0,0.3212978153610774,0.32099631186973815,0.32160245038360424,-0.0003350826273652019,-0.0006365861187044297,-3.0447604838335085e-05,0.0003350826273652019,0.0010418170201520946,2.220446049250313e-16,0.0,7.771561172376096e-16,1
4.0,0.75,1,0.8158959654017417,120,0,0,0.8158070732586187,0.8156543572240721,0.815957522272811,-8.889214312302052e-05,-0.00024160817766960552,6.155687106934593e-05,8.889214312302052e-05,0.00010895034035282994,1.1102230246251565e-15,0.0,4.440892098500626e-16,1
4.0,0.75,2,0.5597131236805604,120,0,0,0.5594148763425911,0.5590993255138432,0.5597282258975298,-0.0002982473379692374,-0.0006137981667171388,1.5102216969431481e-05,0.0002982473379692374,0.0005328575038727396,1.1102230246251565e-15,0.0,4.440892098500626e-16,1
4.0,0.75,3,0.3304078387581857,120,0,0,0.3300671830507503,0.3296909823846279,0.3304405110652523,-0.00034065570743541107,-0.0007168563735577838,3.267230706660573e-05,0.00034065570743541107,0.0010310158158345797,1.1102230246251565e-15,0.0,4.440892098500626e-16,1
4.0,1.0,1,0.8211118214672687,120,0,0,0.8209701003512613,0.8207513637889973,0.8211809405171929,-0.00014172111600740944,-0.0003604576782714197,6.911904992423779e-05,0.00014172111600740944,0.00017259660901503506,5.551115123125783e-16,0.0,9.992007221626409e-16,1
4.0,1.0,2,0.5686655160169485,120,0,0,0.5683183328428386,0.567854388669922,0.5687823638069838,-0.0003471831741098663,-0.0008111273470264857,0.00011684779003529044,0.0003471831741098663,0.0006105226435068711,5.551115123125783e-16,0.0,9.992007221626409e-16,1
4.0,1.0,3,0.3393921674296888,120,0,0,0.33907369673083043,0.33854514382127854,0.3396050504018313,-0.0003184706988583752,-0.0008470236084102689,0.00021288297214250296,0.0003184706988583752,0.0009383560654043442,5.551115123125783e-16,0.0,9.992007221626409e-16,1
