analytical_table_id,configuration_sha256,R,R_zero_handling,c,m1_canonical_selected_qss,m1_zeroth_order,m1_first_order,accepted_depth,fixed_point_residual,bessel_cf_difference
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.604799999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8928817595901091,0.8837857939754555,0.8932365146262812,40,2.220446049250313e-16,2.9976021664879227e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.62975,R>0; left boundary is R_to_0_plus limit,1.0,0.8931744242057702,0.8841217880008111,0.8935279176291768,40,1.1102230246251565e-16,7.771561172376096e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.654699999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8934654598052374,0.8844558448010909,0.8938176911839384,40,4.440892098500626e-16,3.9968028886505635e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.67965,R>0; left boundary is R_to_0_plus limit,1.0,0.8937548801982382,0.8847879810821866,0.8941058492571845,40,3.3306690738754696e-16,2.4424906541753444e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.704599999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8940426990364667,0.8851182133584541,0.8943924056530522,40,2.220446049250313e-16,2.9976021664879227e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.72955,R>0; left boundary is R_to_0_plus limit,1.0,0.8943289298158588,0.8854465579554501,0.8946773740155909,40,6.661338147750939e-16,2.3314683517128287e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.754499999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8946135858788358,0.885773031012622,0.8949607678311126,40,3.3306690738754696e-16,1.9984014443252818e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.77945,R>0; left boundary is R_to_0_plus limit,1.0,0.8948966804165179,0.8860976484859528,0.8952426004305034,40,2.220446049250313e-16,9.992007221626409e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.804399999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8951782264708799,0.886420426150561,0.895522884991491,40,4.440892098500626e-16,6.661338147750939e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.82935,R>0; left boundary is R_to_0_plus limit,1.0,0.8954582369368822,0.886741379603255,0.8958016345408737,40,0.0,1.1102230246251565e-15
