analytical_table_id,configuration_sha256,R,c,m1,a,accepted_depth,previous_depth,depth_doubling_difference,fixed_point_residual,continued_fraction_tail_bound_y1,a_posteriori_root_error_estimate,bessel_m1,bessel_cf_difference,simple_root_margin,minimum_moment,minimum_monotonicity_margin,admissible,continuation_predecessor_a,continuation_predictor_a,root_bracket_left,root_bracket_right,bracket_expansions,bracket_source,m0,m2,m3,m4,m5,m6,m7,m8,m9,m10,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.135,0.6717193056928259,1.9093178937314683,40,20,1.6653345369377348e-15,1.3322676295501878e-15,3.8375964554965105e-127,1.3733851228033619e-15,0.671719305692826,1.2212453270876722e-15,0.9700612067434917,4.612546753960983e-06,2.290175971022503e-05,True,1.9099946802285512,1.9093179701326515,1.8893178937314685,1.9293178937314686,0,local_continuation,1.0,0.3389259583924697,0.13680961179172638,0.04600030801008524,0.013250224757756057,0.0033377852255026237,0.0007470007852718021,0.00015039250482757032,2.7514306464186013e-05,4.612546753960983e-06,0.6717193056928259,0.5045648614236181,0.40365633969323617,0.3362359369904091,0.2880464355771496,0.25190404589543597,0.2238013337599678,0.20132844274433906,0.18294998474646074,0.16764175975014683
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.136,0.6717571263545876,1.9086410308157762,40,20,0.0,7.771561172376096e-16,5.213856021289902e-127,8.013241060333939e-16,0.6717571263545883,1.4432899320127035e-15,0.9698399329137651,4.615167639485847e-06,2.2913569723485093e-05,True,1.9093178937314683,1.9086411072343854,1.8886410308157762,1.9286410308157762,0,local_continuation,1.0,0.33896808486874125,0.13683594157477263,0.04601215024443604,0.013254443376546719,0.003339037772331037,0.0007473207602389214,0.00015046438836161308,2.7528737362970942e-05,4.615167639485847e-06,0.6717571263545876,0.504599164743087,0.4036838501411119,0.336257782238398,0.28806398540675665,0.25191837012479523,0.2238132094316515,0.20133842971725957,0.18295849046227974,0.16764908534067877
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.137,0.6717949528171852,1.9079640914640454,40,20,0.0,1.3322676295501878e-15,7.067997442697111e-127,1.3740119440426949e-15,0.6717949528171849,1.5543122344752192e-15,0.9696186669457293,4.617790431490857e-06,2.292538768869813e-05,True,1.9086410308157762,1.907964167900084,1.8879640914640454,1.9279640914640455,0,local_continuation,1.0,0.33901022175797785,0.1368622800359832,0.046023997251486974,0.013258663974755268,0.003340290982310949,0.0007476409222948356,0.00015053631759446692,2.7543178120188985e-05,4.617790431490857e-06,0.6717949528171852,0.504633475342933,0.4037113669501396,0.3362796326306018,0.2880815393392824,0.2519326976436632,0.2238250877705233,0.20134841888055752,0.18296699799969968,0.1676564124641101
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.138,0.6718327850808078,1.9072870756588485,40,20,0.0,3.3306690738754696e-16,9.560604585188503e-127,3.435813881345274e-16,0.6718327850808081,0.0,0.9693974088524738,4.620415131625127e-06,2.2937213612278935e-05,True,1.9079640914640454,1.9072871521123147,1.8872870756588485,1.9272870756588485,0,local_continuation,1.0,0.33905236906288977,0.13688862717878666,0.046035849033603325,0.013262886553525506,0.0033415448558723835,0.0007479612715725266,0.0001506082925611769,2.7557628743904062e-05,4.620415131625127e-06,0.6718327850808078,0.5046677932249297,0.40373889012229736,0.3363014881687513,0.2880990973761431,0.25194702845317957,0.22383696877750126,0.2013584102349784,0.18297550735933207,0.16766374112094803
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.139,0.6718706231456434,1.9066099833827554,40,20,1.5543122344752192e-15,7.771561172376096e-16,1.2904454578658237e-126,8.018729209377837e-16,0.671870623145643,1.1102230246251565e-15,0.9691761586470984,4.623041741539374e-06,2.294904750064812e-05,True,1.9072870756588485,1.9066100598536515,1.8866099833827557,1.9266099833827557,0,local_continuation,1.0,0.3390945267861866,0.1369149830066125,0.04604770559315152,0.013267111114001938,0.003342799393445672,0.0007482818082050822,0.0001506803132968182,2.7572089242187492e-05,4.623041741539374e-06,0.6718706231456434,0.5047021183908499,0.40376641965956345,0.33632334885457776,0.28811665951875565,0.2519613625544844,0.2238488524535038,0.2013684037812678,0.18298401854178858,0.16767107131169995
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.14,0.671908467011878,1.9059328146183372,40,20,0.0,8.881784197001252e-16,1.7380916743506218e-126,9.166354437340846e-16,0.6719084670118781,9.992007221626409e-16,0.9689549163427127,4.6256702628859155e-06,2.2960889360232083e-05,True,1.9066099833827554,1.9059328911066624,1.8859328146183372,1.9259328146183372,0,local_continuation,1.0,0.3391366949305776,0.13694134752289117,0.04605956693249911,0.013271337657329756,0.0033440545954614483,0.0007486025323256945,0.00015075237983649592,2.7586559623117998e-05,4.6256702628859155e-06,0.671908467011878,0.5047364508424662,0.40379395556391656,0.33634521468981293,0.28813422576853737,0.25197569994871827,0.22386073879944965,0.20137839952017164,0.1829925315476812,0.1676784030368733
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.14100000000000001,0.6719463166796967,1.9052555693481628,40,20,0.0,0.0,2.3361329441199724e-126,1.7103068739419962e-125,0.6719463166796966,1.1102230246251565e-16,0.9687336819524365,4.6283006973186755e-06,2.2972739197463032e-05,True,1.9059328146183372,1.905255645853919,1.8852555693481627,1.9252555693481628,0,local_continuation,1.0,0.33917887349877185,0.13696772073105426,0.04607143305401484,0.01327556618465488,0.003345310462350659,0.000748923444067662,0.0001508244922153455,2.7601039894781708e-05,4.6283006973186755e-06,0.6719463166796967,0.5047707905815512,0.4038214978373357,0.3363670856761889,0.28815179612690595,0.251990040637022,0.2238726278162577,0.20138839745243595,0.18300104637762185,0.16768573629697583
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.14200000000000002,0.6719841721492821,1.9045782475548019,40,20,1.5543122344752192e-15,4.440892098500626e-16,3.1334813805077803e-126,4.585271023960757e-16,0.6719841721492823,2.220446049250313e-16,0.9685124554893997,4.6309330464931636e-06,2.2984597018778916e-05,True,1.9052555693481628,1.9045783240779883,1.884578247554802,1.9245782475548021,0,local_continuation,1.0,0.33922106249347755,0.136994102634534,0.046083303960068475,0.013279796697123878,0.0033465669945445388,0.0007492445435643845,0.0001508966504685318,2.761553006527208e-05,4.6309330464931636e-06,0.6719841721492821,0.5048051376098769,0.4038490464818,0.3363889618154382,0.28816937059527936,0.2520043846205367,0.22388451950484717,0.20139839757880715,0.18300956303222293,0.16769307109251527
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.14300000000000002,0.6720220334208158,1.9039008492208231,40,20,0.0,1.3322676295501878e-15,4.1944395889043525e-126,1.375895576338823e-15,0.6720220334208157,1.4432899320127035e-15,0.9682912369667425,4.63356731206652e-06,2.2996462830623573e-05,True,1.9045782475548019,1.903900925761441,1.8839008492208231,1.9239008492208232,0,local_continuation,1.0,0.3392632619174026,0.1370204932367637,0.046095179653030977,0.013284029195884048,0.0033478241924746414,0.0007495658309493706,0.00015096885463125048,2.7630030142690093e-05,4.63356731206652e-06,0.6720220334208158,0.504839491929215,0.403876601499289,0.33641084310929387,0.28818694917507626,0.252018731900404,0.2238964138661377,0.20140839990003181,0.1830180815120968,0.16770040742399966
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,2.0,0.14400000000000002,0.6720599004944775,1.9032233743287954,40,20,1.5543122344752192e-15,1.2212453270876722e-15,5.603383385297636e-126,1.2615258129953411e-15,0.6720599004944774,1.1102230246251565e-15,0.9680700263976147,4.636203495697465e-06,2.300833663944657e-05,True,1.9039008492208231,1.9032234508868444,1.8832233743287952,1.9232233743287952,0,local_continuation,1.0,0.3393054717732543,0.1370468925411777,0.04610706013527442,0.013288263682083372,0.0033490820565728182,0.0007498873063562315,0.0001510411047387267,2.7644540135144034e-05,4.636203495697465e-06,0.6720599004944775,0.504873853541337,0.4039041628917827,0.3364327295594893,0.2882045318677155,0.2520330824777658,0.2239083109010491,0.20141840441685663,0.18302660181785613,0.167707745291937
