closure,R,c,n_replicates,n_timepoints,mean_signed_defect,mean_absolute_defect,root_mean_square_defect,maximum_absolute_defect
dynamic_K1,2.0,1.0,120,136,0.01678515498583938,0.028694344799124333,0.031210544638043396,0.08501957503126265
dynamic_K2,2.0,1.0,120,136,0.006215051765293898,0.011337878028431048,0.012226257312818532,0.02558904730907125
dynamic_K3,2.0,1.0,120,136,0.0018854914161575919,0.003597613295339429,0.003944020137848184,0.007382061156798597
algebraic_qss0,4.0,0.0,120,136,0.0,0.0,0.0,0.0
dynamic_K1,4.0,0.0,120,136,0.0,0.0,0.0,0.0
dynamic_K2,4.0,0.0,120,136,0.0,0.0,0.0,0.0
dynamic_K3,4.0,0.0,120,136,0.0,0.0,0.0,0.0
algebraic_qss0,4.0,0.25,120,136,-0.023170444402788763,0.02410311989255738,0.027155377368719577,0.04272812821255194
dynamic_K1,4.0,0.25,120,136,0.008801710192482324,0.01023840804127741,0.01273821195087038,0.02316039560291961
dynamic_K2,4.0,0.25,120,136,0.002850698102066091,0.003983764603611051,0.005576092848039409,0.012993074857306677
dynamic_K3,4.0,0.25,120,136,0.0008436593516979765,0.0014450343976595394,0.0022262310552486264,0.005692987490254967
algebraic_qss0,4.0,0.5,120,136,-0.04484972366554142,0.0466716131027336,0.05157002165121305,0.07819413709802911
dynamic_K1,4.0,0.5,120,136,0.01829095134519039,0.021334459146407105,0.025721691672817307,0.045401273627924316
dynamic_K2,4.0,0.5,120,136,0.006046313357147469,0.008490903775626961,0.011491731765122085,0.02714367751149624
dynamic_K3,4.0,0.5,120,136,0.0017948703232619132,0.0030891606707501755,0.004601935259468331,0.011844562677868674
algebraic_qss0,4.0,0.75,120,136,-0.06601865242024975,0.068367519065111,0.0740667596167363,0.10813926393751089
dynamic_K1,4.0,0.75,120,136,0.030213976434849354,0.034358674794402085,0.04024209480751611,0.06730553091866967
dynamic_K2,4.0,0.75,120,136,0.010652722149891523,0.014207537250826883,0.01848453017845,0.03971791186422649
dynamic_K3,4.0,0.75,120,136,0.003096519868159916,0.005127193068692478,0.0073036768654575115,0.01783982475674941
algebraic_qss0,4.0,1.0,120,136,-0.09007849259295594,0.0927703100283091,0.09891568414190278,0.1351919511156951
dynamic_K1,4.0,1.0,120,136,0.04415815779112503,0.04926245228394027,0.055327317971194764,0.08616523734478304
dynamic_K2,4.0,1.0,120,136,0.0162236887311984,0.020616103423328876,0.02573708808917655,0.051640484143736565
dynamic_K3,4.0,1.0,120,136,0.004991912679438481,0.007583711805620815,0.010380311304929718,0.023388903214172474
