analytical_table_id,configuration_sha256,R,c,epsilon,retained_order_p,m1_canonical_selected_qss,m1_perturbative,signed_error_approximation_minus_qss,absolute_error_e_p,first_omitted_term_indicator,canonical_accepted_depth,canonical_fixed_point_residual,canonical_depth_doubling_difference,canonical_bessel_cf_difference,canonical_root_error_estimate
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.014,0.0035,0,0.5005846982670655,0.5,-0.000584698267065531,0.000584698267065531,0.0005833333333333333,40,1.1890488593735427e-13,0.0,1.1857181902996672e-13,1.1932284108338376e-13
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.014,0.0035,1,0.5005846982670655,0.5005833333333334,-1.3649337321508526e-06,1.3649337321508526e-06,1.3611111111111112e-06,40,1.1890488593735427e-13,0.0,1.1857181902996672e-13,1.1932284108338376e-13
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.014,0.0035,2,0.5005846982670655,0.5005846944444445,-3.822620997517845e-09,3.822620997517845e-09,3.811111111111112e-09,40,1.1890488593735427e-13,0.0,1.1857181902996672e-13,1.1932284108338376e-13
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.015,0.00375,0,0.5006265672025186,0.5,-0.0006265672025186353,0.0006265672025186353,0.0006249999999999999,40,4.6629367034256575e-15,0.0,4.107825191113079e-15,4.680503235413627e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.015,0.00375,1,0.5006265672025186,0.500625,-1.5672025186486138e-06,1.5672025186486138e-06,1.5624999999999999e-06,40,4.6629367034256575e-15,0.0,4.107825191113079e-15,4.680503235413627e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.015,0.00375,2,0.5006265672025186,0.5006265625,-4.7025185967441985e-09,4.7025185967441985e-09,4.6875e-09,40,4.6629367034256575e-15,0.0,4.107825191113079e-15,4.680503235413627e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.016,0.004,0,0.500668450152765,0.5,-0.0006684501527649545,0.0006684501527649545,0.0006666666666666666,40,8.770761894538737e-15,0.0,8.104628079763643e-15,8.806017315831261e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.016,0.004,1,0.500668450152765,0.5006666666666667,-1.7834860982501866e-06,1.7834860982501866e-06,1.7777777777777775e-06,40,8.770761894538737e-15,0.0,8.104628079763643e-15,8.806017315831261e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.016,0.004,2,0.500668450152765,0.5006684444444445,-5.708320482966656e-09,5.708320482966656e-09,5.68888888888889e-09,40,8.770761894538737e-15,0.0,8.104628079763643e-15,8.806017315831261e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.017,0.00425,0,0.5007103471261699,0.5,-0.0007103471261699079,0.0007103471261699079,0.0007083333333333334,40,3.3306690738754696e-16,0.0,6.661338147750939e-16,3.3448983368768957e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.017,0.00425,1,0.5007103471261699,0.5007083333333333,-2.0137928365970836e-06,2.0137928365970836e-06,2.0069444444444446e-06,40,3.3306690738754696e-16,0.0,6.661338147750939e-16,3.3448983368768957e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.017,0.00425,2,0.5007103471261699,0.5007103402777777,-6.848392186675767e-09,6.848392186675767e-09,6.823611111111113e-09,40,3.3306690738754696e-16,0.0,6.661338147750939e-16,3.3448983368768957e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.018000000000000002,0.0045000000000000005,0,0.5007522581311515,0.5,-0.0007522581311515397,0.0007522581311515397,0.00075,40,1.4432899320127035e-15,0.0,1.2212453270876722e-15,1.4498206589568151e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.018000000000000002,0.0045000000000000005,1,0.5007522581311515,0.50075,-2.2581311515113e-06,2.2581311515113e-06,2.2500000000000005e-06,40,1.4432899320127035e-15,0.0,1.2212453270876722e-15,1.4498206589568151e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.018000000000000002,0.0045000000000000005,2,0.5007522581311515,0.50075225,-8.131151529866543e-09,8.131151529866543e-09,8.100000000000003e-09,40,1.4432899320127035e-15,0.0,1.2212453270876722e-15,1.4498206589568151e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.019,0.00475,0,0.5007941831761851,0.5,-0.0007941831761850704,0.0007941831761850704,0.0007916666666666666,40,2.3314683517128287e-15,0.0,2.1094237467877974e-15,2.3426075015149885e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.019,0.00475,1,0.5007941831761851,0.5007916666666666,-2.516509518435406e-06,2.516509518435406e-06,2.506944444444444e-06,40,2.3314683517128287e-15,0.0,2.1094237467877974e-15,2.3426075015149885e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.019,0.00475,2,0.5007941831761851,0.5007941736111111,-9.565073955108971e-09,9.565073955108971e-09,9.526388888888888e-09,40,2.3314683517128287e-15,0.0,2.1094237467877974e-15,2.3426075015149885e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.02,0.005,0,0.5008361222697211,0.5,-0.0008361222697210735,0.0008361222697210735,0.0008333333333333333,40,3.6637359812630166e-15,0.0,3.4416913763379853e-15,3.682167308382312e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.02,0.005,1,0.5008361222697211,0.5008333333333334,-2.7889363877209306e-06,2.7889363877209306e-06,2.777777777777778e-06,40,3.6637359812630166e-15,0.0,3.4416913763379853e-15,3.682167308382312e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.02,0.005,2,0.5008361222697211,0.5008361111111111,-1.1158609924954987e-08,1.1158609924954987e-08,1.1111111111111114e-08,40,3.6637359812630166e-15,0.0,3.4416913763379853e-15,3.682167308382312e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.021,0.00525,0,0.5008780754202555,0.5,-0.0008780754202555308,0.0008780754202555308,0.000875,40,3.552713678800501e-15,0.0,3.6637359812630166e-15,3.571485893371496e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.021,0.00525,1,0.5008780754202555,0.500875,-3.075420255571615e-06,3.075420255571615e-06,3.0625e-06,40,3.552713678800501e-15,0.0,3.6637359812630166e-15,3.571485893371496e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.021,0.00525,2,0.5008780754202555,0.5008780625,-1.2920255532122837e-08,1.2920255532122837e-08,1.2862500000000004e-08,40,3.552713678800501e-15,0.0,3.6637359812630166e-15,3.571485893371496e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.022,0.0055,0,0.5009200426362437,0.5,-0.0009200426362436787,0.0009200426362436787,0.0009166666666666665,40,1.3322676295501878e-15,0.0,5.551115123125783e-16,1.3396446972834845e-15
