dataset,phase,R,c,boundary_side,initial_infectious,replicates,event_growth_estimate,bootstrap_95_low,bootstrap_95_high,analytical_growth,extinctions_before_window_end,total_person_time
CP_COHORT_R2,PRODUCTION,4.0,0.5,curve_cell,50,300,2.5901290331712756,2.581237634934008,2.5991248595581404,2.594685328257715,0,279031.2724749141
CP_COHORT_R2,PRODUCTION,4.0,0.75,curve_cell,50,300,2.3993303421964365,2.387001913371234,2.4114516046548995,2.3880780259486927,0,170180.40109733684
CP_COHORT_R2,PRODUCTION,4.0,1.0,curve_cell,73,300,2.16329814512278,2.1491078957015173,2.1773512918440496,2.1788881785327305,0,155076.17420018621
CP_THRESHOLD_R1,INITIAL_SIZE_SENSITIVITY,1.05568742,0.25,below,500,100,-0.09790647190882502,-0.14431180299500265,-0.05194858896980214,nan,0,4014.0349492521755
CP_THRESHOLD_R1,INITIAL_SIZE_SENSITIVITY,1.21328167,0.5,below,500,100,-0.051197388948853784,-0.1025520925841623,0.00023324957058801533,nan,0,4414.287615834747
CP_THRESHOLD_R1,INITIAL_SIZE_SENSITIVITY,1.21568742,0.25,above,500,100,0.0783060445331567,0.04422714375596893,0.11213525248409682,nan,0,7100.345871314901
CP_THRESHOLD_R1,INITIAL_SIZE_SENSITIVITY,1.37328167,0.5,above,500,100,0.08825852142028187,0.04616675745176794,0.13199351124185085,nan,0,7444.040410233079
CP_THRESHOLD_R1,INITIAL_SIZE_SENSITIVITY,1.39215241,0.75,below,500,100,-0.1233985961821528,-0.18244481486172878,-0.06634926123906486,nan,0,4651.592625516577
CP_THRESHOLD_R1,INITIAL_SIZE_SENSITIVITY,1.55215241,0.75,above,500,100,0.03974254917814293,-0.007087707968306797,0.09046526868076815,nan,0,8026.661766715238
CP_THRESHOLD_R1,INITIAL_SIZE_SENSITIVITY,1.58978036,1.0,below,500,100,-0.0423044608424261,-0.10003909049379589,0.016621794339159692,nan,0,5153.120868553256
CP_THRESHOLD_R1,INITIAL_SIZE_SENSITIVITY,1.74978036,1.0,above,500,100,0.09764442847199566,0.05031901280208776,0.14641010904349638,nan,0,8244.19798033713
CP_THRESHOLD_R1,PRODUCTION,1.05568742,0.25,below,2000,300,-0.07394098051138456,-0.08771896936137835,-0.06094284834741611,nan,0,48985.014466265115
CP_THRESHOLD_R1,PRODUCTION,1.21328167,0.5,below,2000,300,-0.06547856811025451,-0.07930395929856794,-0.05146030057351506,nan,0,53055.527942370216
CP_THRESHOLD_R1,PRODUCTION,1.21568742,0.25,above,2000,300,0.06513912769790281,0.05460716584889233,0.0757454046686239,nan,0,84373.25144249585
CP_THRESHOLD_R1,PRODUCTION,1.37328167,0.5,above,2000,300,0.07543259350893096,0.06344099092705958,0.08675060046061232,nan,0,89497.1216812359
CP_THRESHOLD_R1,PRODUCTION,1.39215241,0.75,below,2000,300,-0.06091231764246546,-0.07614141212909611,-0.04566403680046896,nan,0,56819.377983856895
CP_THRESHOLD_R1,PRODUCTION,1.55215241,0.75,above,2000,300,0.0719876311804656,0.059546969655792766,0.08424671805475992,nan,0,94807.9536454037
CP_THRESHOLD_R1,PRODUCTION,1.58978036,1.0,below,2000,300,-0.08295830717847115,-0.10119444618058523,-0.06428994243809957,nan,0,60729.30091451326
CP_THRESHOLD_R1,PRODUCTION,1.74978036,1.0,above,2000,300,0.0668724959210453,0.052313282609140185,0.08150912118855931,nan,0,100340.20575398189
