R,c,k,window_start,window_end,valid_replicate_count,abm_mean,bootstrap_95_lower,bootstrap_95_upper,qss_target,signed_discrepancy,absolute_relative_discrepancy
4.0,0.0,2,3.0,3.25,120,0.5333563361095988,0.5332314132256557,0.53347735553902,0.5333333333333333,2.300277626543501e-05,4.3130205497690643e-05
4.0,0.0,3,3.0,3.25,120,0.30476455638305827,0.30461248897408916,0.30491381305678356,0.30476190476190473,2.6516211535376755e-06,8.700631910045498e-06
4.0,0.25,1,2.75,3.0,120,0.8053621861514813,0.8052484257269514,0.8054786665701444,0.8053261651114556,3.6021040025646656e-05,4.472851074031776e-05
4.0,0.25,2,2.75,3.0,120,0.5421361553994876,0.541910745426697,0.5423656433972199,0.5420269299840241,0.00010922541546343201,0.00020151289432547448
4.0,0.25,3,2.75,3.0,120,0.3131876618585235,0.3129222763394041,0.3134584178636785,0.3130807910778931,0.0001068707806303748,0.0003413520844330109
4.0,0.25,1,3.0,3.25,120,0.8053562111602676,0.8052733102538928,0.805439039892173,0.8053261651114556,3.004604881196027e-05,3.730916753189306e-05
4.0,0.25,2,3.0,3.25,120,0.5420940689995323,0.5419192428282603,0.5422744309649215,0.5420269299840241,6.713901550814416e-05,0.00012386656786614466
4.0,0.25,3,3.0,3.25,120,0.31314759879548176,0.3129470070004146,0.3133521656719377,0.3130807910778931,6.680771758865722e-05,0.00021338810777450656
4.0,0.5,1,2.75,3.0,120,0.8105936265505853,0.8104198459766482,0.8107724674765944,0.8106293434845692,-3.571693398385367e-05,4.406074646930612e-05
4.0,0.5,2,2.75,3.0,120,0.5507573743140737,0.5503937977233451,0.551107731948432,0.5508264976725245,-6.912335845077333e-05,0.0001254902564470824
4.0,0.5,3,2.75,3.0,120,0.3216172420616098,0.3211842499330856,0.322066013432181,0.3216328979884426,-1.5655926832780498e-05,4.867638519161392e-05
4.0,0.5,1,3.0,3.25,120,0.8105409949647343,0.8104132496390881,0.8106628272167313,0.8106293434845692,-8.83485198348577e-05,0.00010898756693790899
4.0,0.5,2,3.0,3.25,120,0.550587825542298,0.5503324304202224,0.5508510272207248,0.5508264976725245,-0.00023867213022643607,0.00043329820049494176
4.0,0.5,3,3.0,3.25,120,0.3212978153610774,0.3209811052435608,0.32160799232030574,0.3216328979884426,-0.0003350826273652019,0.0010418170201520946
4.0,0.75,1,2.75,3.0,120,0.8157295375203425,0.8155038038474332,0.8159633760690049,0.8158959654017417,-0.0001664278813992004,0.00020398174333078413
4.0,0.75,2,2.75,3.0,120,0.559385001873874,0.5589260573690749,0.5598645317204839,0.5597131236805604,-0.0003281218066863989,0.0005862321121376183
4.0,0.75,3,2.75,3.0,120,0.3301507284479867,0.3296350820002616,0.33069159427164635,0.3304078387581857,-0.00025711031019898245,0.0007781604430612579
4.0,0.75,1,3.0,3.25,120,0.8158070732586187,0.8156539365055137,0.8159596901661553,0.8158959654017417,-8.889214312302052e-05,0.00010895034035282994
4.0,0.75,2,3.0,3.25,120,0.5594148763425911,0.5590947845863214,0.5597179051955636,0.5597131236805604,-0.0002982473379692374,0.0005328575038727396
4.0,0.75,3,3.0,3.25,120,0.3300671830507503,0.32968091664244753,0.33043951439217684,0.3304078387581857,-0.00034065570743541107,0.0010310158158345797
4.0,1.0,1,2.75,3.0,120,0.8212563035867277,0.8209684707857132,0.8215533522911955,0.8211118214672687,0.0001444821194590551,0.00017595912722444523
4.0,1.0,2,2.75,3.0,120,0.5690968944460925,0.5684975936877024,0.569705378675459,0.5686655160169485,0.0004313784291439804,0.000758580249714181
