R,c,replicate,k,seed,window_start,window_end,valid_time_points,replicate_time_average,extinction_time,censoring_time,peak_active,infection_events,identification_events,traced_removals
1.0,0.0,25,2,8978922435704769089,3.0,3.25,26,0.1781780107307462,nan,nan,175,500,508,0
1.0,0.0,25,3,8978922435704769089,3.0,3.25,26,0.05586951255793445,nan,nan,175,500,508,0
1.0,0.0,26,1,12333667909833575069,3.0,3.25,26,0.5196711575169578,nan,nan,190,556,532,0
1.0,0.0,26,2,12333667909833575069,3.0,3.25,26,0.14826324094084967,nan,nan,190,556,532,0
1.0,0.0,26,3,12333667909833575069,3.0,3.25,26,0.040681460033476946,nan,nan,190,556,532,0
1.0,0.0,27,1,1326783448611681819,3.0,3.25,26,0.47833670704538955,nan,nan,161,432,457,0
1.0,0.0,27,2,1326783448611681819,3.0,3.25,26,0.1151645841127183,nan,nan,161,432,457,0
1.0,0.0,27,3,1326783448611681819,3.0,3.25,26,0.014010336809006114,nan,nan,161,432,457,0
1.0,0.0,28,1,17217453223867692099,3.0,3.25,26,0.5523547277027389,nan,nan,163,442,450,0
1.0,0.0,28,2,17217453223867692099,3.0,3.25,26,0.1858876902586653,nan,nan,163,442,450,0
1.0,0.0,28,3,17217453223867692099,3.0,3.25,26,0.05972023083131623,nan,nan,163,442,450,0
1.0,0.0,29,1,8474708338545233206,3.0,3.25,26,0.5531778002903163,nan,nan,196,573,540,0
1.0,0.0,29,2,8474708338545233206,3.0,3.25,26,0.1918030307971092,nan,nan,196,573,540,0
1.0,0.0,29,3,8474708338545233206,3.0,3.25,26,0.046298279378127735,nan,nan,196,573,540,0
1.0,0.0,30,1,11265528483438409903,3.0,3.25,26,0.4982051358704789,nan,nan,169,459,480,0
1.0,0.0,30,2,11265528483438409903,3.0,3.25,26,0.1737964637140557,nan,nan,169,459,480,0
1.0,0.0,30,3,11265528483438409903,3.0,3.25,26,0.022126772807036312,nan,nan,169,459,480,0
1.0,0.0,31,1,17908481596664723114,3.0,3.25,26,0.4570688738721253,nan,nan,160,390,439,0
1.0,0.0,31,2,17908481596664723114,3.0,3.25,26,0.1556385122367592,nan,nan,160,390,439,0
1.0,0.0,31,3,17908481596664723114,3.0,3.25,26,0.05662053219420142,nan,nan,160,390,439,0
1.0,0.0,32,1,16659959650026730654,3.0,3.25,26,0.5200617982690446,nan,nan,163,467,496,0
1.0,0.0,32,2,16659959650026730654,3.0,3.25,26,0.19085546825529512,nan,nan,163,467,496,0
1.0,0.0,32,3,16659959650026730654,3.0,3.25,26,0.0334139620725682,nan,nan,163,467,496,0
1.0,0.0,33,1,828413657932351846,3.0,3.25,26,0.4895978674133561,nan,nan,185,544,536,0
1.0,0.0,33,2,828413657932351846,3.0,3.25,26,0.168075737222254,nan,nan,185,544,536,0
1.0,0.0,33,3,828413657932351846,3.0,3.25,26,0.04896759000639762,nan,nan,185,544,536,0
1.0,0.0,34,1,9616276948293958391,3.0,3.25,26,0.5168391078367531,nan,nan,169,492,488,0
1.0,0.0,34,2,9616276948293958391,3.0,3.25,26,0.1670499447677714,nan,nan,169,492,488,0
1.0,0.0,34,3,9616276948293958391,3.0,3.25,26,0.05114179895083025,nan,nan,169,492,488,0
1.0,0.0,35,1,12156224218914416911,3.0,3.25,26,0.4594195214661497,nan,nan,174,452,487,0
1.0,0.0,35,2,12156224218914416911,3.0,3.25,26,0.0921867039798915,nan,nan,174,452,487,0
1.0,0.0,35,3,12156224218914416911,3.0,3.25,26,0.020428898387682495,nan,nan,174,452,487,0
1.0,0.0,36,1,16575388213121487919,3.0,3.25,26,0.5141484480623493,nan,nan,171,428,469,0
1.0,0.0,36,2,16575388213121487919,3.0,3.25,26,0.19601233536265975,nan,nan,171,428,469,0
1.0,0.0,36,3,16575388213121487919,3.0,3.25,26,0.06109254284064673,nan,nan,171,428,469,0
1.0,0.0,37,1,10370944620264689461,3.0,3.25,26,0.5301586657214933,nan,nan,177,450,483,0
1.0,0.0,37,2,10370944620264689461,3.0,3.25,26,0.18950049976898994,nan,nan,177,450,483,0
1.0,0.0,37,3,10370944620264689461,3.0,3.25,26,0.0743377340234826,nan,nan,177,450,483,0
1.0,0.0,38,1,9585052467966924175,3.0,3.25,26,0.532287383670874,nan,nan,194,594,562,0
1.0,0.0,38,2,9585052467966924175,3.0,3.25,26,0.1505518791326697,nan,nan,194,594,562,0
1.0,0.0,38,3,9585052467966924175,3.0,3.25,26,0.0419814331431071,nan,nan,194,594,562,0
1.0,0.0,39,1,6036135342212470411,3.0,3.25,26,0.4617775772665856,nan,nan,196,523,525,0
1.0,0.0,39,2,6036135342212470411,3.0,3.25,26,0.13640702010534173,nan,nan,196,523,525,0
1.0,0.0,39,3,6036135342212470411,3.0,3.25,26,0.03384775664153045,nan,nan,196,523,525,0
1.0,0.0,40,1,15123630424605005686,3.0,3.25,26,0.5274212761348908,nan,nan,193,527,523,0
1.0,0.0,40,2,15123630424605005686,3.0,3.25,26,0.1806244260393985,nan,nan,193,527,523,0
1.0,0.0,40,3,15123630424605005686,3.0,3.25,26,0.04014438875539077,nan,nan,193,527,523,0
1.0,0.0,41,1,2046927845118205695,3.0,3.25,26,0.5882937852761992,nan,nan,240,658,580,0
1.0,0.0,41,2,2046927845118205695,3.0,3.25,26,0.22831565821010422,nan,nan,240,658,580,0
1.0,0.0,41,3,2046927845118205695,3.0,3.25,26,0.06789511698916201,nan,nan,240,658,580,0
1.0,0.0,42,1,12277897253877963829,3.0,3.25,26,0.4863040985253908,nan,nan,167,496,501,0
1.0,0.0,42,2,12277897253877963829,3.0,3.25,26,0.15899457781278611,nan,nan,167,496,501,0
1.0,0.0,42,3,12277897253877963829,3.0,3.25,26,0.04989407675038019,nan,nan,167,496,501,0
1.0,0.0,43,1,9747475717600056554,3.0,3.25,26,0.45203194988650136,nan,nan,177,515,538,0
1.0,0.0,43,2,9747475717600056554,3.0,3.25,26,0.12074427876718981,nan,nan,177,515,538,0
1.0,0.0,43,3,9747475717600056554,3.0,3.25,26,0.01620214553492863,nan,nan,177,515,538,0
1.0,0.0,44,1,17461469944874653384,3.0,3.25,26,0.4708964585721559,nan,nan,162,399,443,0
1.0,0.0,44,2,17461469944874653384,3.0,3.25,26,0.13831640986850033,nan,nan,162,399,443,0
1.0,0.0,44,3,17461469944874653384,3.0,3.25,26,0.039014212744457724,nan,nan,162,399,443,0
1.0,0.0,45,1,17385793232692988954,3.0,3.25,26,0.5127304032091761,nan,nan,250,702,633,0
1.0,0.0,45,2,17385793232692988954,3.0,3.25,26,0.15732791138210533,nan,nan,250,702,633,0
1.0,0.0,45,3,17385793232692988954,3.0,3.25,26,0.04255233246407113,nan,nan,250,702,633,0
1.0,0.0,46,1,7571664737066778451,3.0,3.25,26,0.4932570928945844,nan,nan,186,564,560,0
1.0,0.0,46,2,7571664737066778451,3.0,3.25,26,0.16321237102258332,nan,nan,186,564,560,0
1.0,0.0,46,3,7571664737066778451,3.0,3.25,26,0.04994167377466065,nan,nan,186,564,560,0
1.0,0.0,47,1,14963720188672565897,3.0,3.25,26,0.41257882745630814,nan,nan,165,474,520,0
1.0,0.0,47,2,14963720188672565897,3.0,3.25,26,0.06928992294798647,nan,nan,165,474,520,0
1.0,0.0,47,3,14963720188672565897,3.0,3.25,26,0.0023707356969390947,nan,nan,165,474,520,0
1.0,0.0,48,1,7944185792959920027,3.0,3.25,26,0.4762056080058879,nan,nan,178,536,543,0
1.0,0.0,48,2,7944185792959920027,3.0,3.25,26,0.12266274824043723,nan,nan,178,536,543,0
1.0,0.0,48,3,7944185792959920027,3.0,3.25,26,0.022059410748598098,nan,nan,178,536,543,0
1.0,0.0,49,1,5183806301166931955,3.0,3.25,26,0.5107811642497129,nan,nan,184,527,513,0
1.0,0.0,49,2,5183806301166931955,3.0,3.25,26,0.17847199363626104,nan,nan,184,527,513,0
1.0,0.0,49,3,5183806301166931955,3.0,3.25,26,0.04029608540310818,nan,nan,184,527,513,0
1.0,0.0,50,1,110013019977911845,3.0,3.25,26,0.5259645044598504,nan,nan,172,470,485,0
1.0,0.0,50,2,110013019977911845,3.0,3.25,26,0.18184134477175784,nan,nan,172,470,485,0
1.0,0.0,50,3,110013019977911845,3.0,3.25,26,0.03706471948279383,nan,nan,172,470,485,0
1.0,0.0,51,1,13247323432591198725,3.0,3.25,26,0.5875574872367758,nan,nan,183,503,488,0
1.0,0.0,51,2,13247323432591198725,3.0,3.25,26,0.2135546277350554,nan,nan,183,503,488,0
1.0,0.0,51,3,13247323432591198725,3.0,3.25,26,0.04065956317365619,nan,nan,183,503,488,0
1.0,0.0,52,1,14332955464912890968,3.0,3.25,26,0.47308827823003274,nan,nan,209,565,539,0
1.0,0.0,52,2,14332955464912890968,3.0,3.25,26,0.1456269395121436,nan,nan,209,565,539,0
1.0,0.0,52,3,14332955464912890968,3.0,3.25,26,0.036736019602697005,nan,nan,209,565,539,0
1.0,0.0,53,1,17671521327592835461,3.0,3.25,26,0.47766129757934145,nan,nan,219,619,590,0
1.0,0.0,53,2,17671521327592835461,3.0,3.25,26,0.1621055070052049,nan,nan,219,619,590,0
1.0,0.0,53,3,17671521327592835461,3.0,3.25,26,0.0405859682478458,nan,nan,219,619,590,0
1.0,0.0,54,1,10205794323050201297,3.0,3.25,26,0.5066227516968882,nan,nan,187,573,562,0
1.0,0.0,54,2,10205794323050201297,3.0,3.25,26,0.17210370686613466,nan,nan,187,573,562,0
1.0,0.0,54,3,10205794323050201297,3.0,3.25,26,0.03586825735166378,nan,nan,187,573,562,0
